matchup_id,year,week,home_team_id,home_score,away_team_id,away_score,is_playoff,matchup_type
1225,2019,2,3,194.6,11,120.35,0,NONE
1226,2019,2,8,132.35,7,144.3,0,NONE
1227,2019,2,2,136.15,4,133.35,0,NONE
1228,2019,2,12,143.95,9,123.95,0,NONE
1229,2019,3,3,122.85,8,102.45,0,NONE
1230,2019,3,1,138.65,2,137.2,0,NONE
1231,2019,3,6,205.4,12,194.35,0,NONE
1232,2019,3,11,177.25,4,128.2,0,NONE
1233,2019,3,7,137.8,9,178.05,0,NONE
1234,2019,4,2,92.25,12,189.8,0,NONE
1235,2019,4,4,119.15,3,172.55,0,NONE
1236,2019,4,9,138.4,8,127.05,0,NONE
1237,2019,4,11,124.65,1,140.8,0,NONE
1238,2019,4,7,142.4,6,145.1,0,NONE
1239,2019,5,4,118.35,9,140.2,0,NONE
1240,2019,5,2,135.55,11,149.95,0,NONE
1241,2019,5,12,169.4,7,206.4,0,NONE
1242,2019,5,3,140.55,1,155.1,0,NONE
1243,2019,5,8,142.85,6,159.4,0,NONE
1244,2019,6,7,136.6,1,114.2,0,NONE
1245,2019,6,6,166.15,3,171.5,0,NONE
1246,2019,6,8,87.3,2,152.4,0,NONE
1247,2019,6,12,145.05,4,131.05,0,NONE
1248,2019,6,9,84.05,11,148.5,0,NONE
1249,2019,7,3,141.95,7,102.65,0,NONE
1250,2019,7,2,136.35,6,112.65,0,NONE
1251,2019,7,4,101.3,8,121.9,0,NONE
1252,2019,7,11,138.1,12,189.85,0,NONE
1253,2019,7,1,88.1,9,143.25,0,NONE
1254,2019,8,7,186.85,2,116.5,0,NONE
1255,2019,8,6,144.0,4,150.65,0,NONE
1256,2019,8,8,97.9,11,117.25,0,NONE
1257,2019,8,12,192.95,1,154.75,0,NONE
1258,2019,8,9,154.15,3,150.8,0,NONE
1259,2019,9,7,143.75,11,124.25,0,NONE
1260,2019,9,6,139.1,1,165.55,0,NONE
1261,2019,9,8,128.35,3,177.0,0,NONE
1262,2019,9,12,171.05,2,173.85,0,NONE
1263,2019,9,9,126.95,4,101.35,0,NONE
1264,2019,10,1,113.0,7,137.9,0,NONE
1265,2019,10,3,119.55,6,143.7,0,NONE
1266,2019,10,2,165.15,8,192.8,0,NONE
1267,2019,10,4,84.05,12,164.55,0,NONE
1268,2019,10,11,115.0,9,189.8,0,NONE
1269,2019,11,7,137.3,3,150.1,0,NONE
1270,2019,11,6,140.7,2,139.65,0,NONE
1271,2019,11,8,156.6,4,104.0,0,NONE
1272,2019,11,12,187.6,11,119.65,0,NONE
1273,2019,11,9,179.35,1,86.35,0,NONE
1274,2019,12,2,120.1,7,95.7,0,NONE
1275,2019,12,4,171.75,6,96.6,0,NONE
1276,2019,12,11,141.65,8,147.25,0,NONE
1277,2019,12,1,124.8,12,167.75,0,NONE
1278,2019,12,3,166.05,9,143.55,0,NONE
1279,2019,13,12,292.3,6,302.25,1,WINNERS_BRACKET
1280,2019,13,3,298.7,9,238.65,1,WINNERS_BRACKET
1281,2019,13,7,260.8,2,306.95,1,LOSERS_CONSOLATION_LADDER
1282,2019,13,1,273.6,11,238.25,1,LOSERS_CONSOLATION_LADDER
1283,2019,13,8,239.45,4,234.55,1,LOSERS_CONSOLATION_LADDER
1284,2019,14,3,311.1,6,331.15,1,WINNERS_BRACKET
1285,2019,14,12,301.15,9,362.65,1,WINNERS_CONSOLATION_LADDER
1286,2019,14,2,247.75,1,312.75,1,LOSERS_CONSOLATION_LADDER
1287,2019,14,7,311.15,8,232.45,1,LOSERS_CONSOLATION_LADDER
1288,2019,14,11,323.05,4,220.5,1,LOSERS_CONSOLATION_LADDER
1289,2018,1,5,164.46,4,95.74,0,NONE
1290,2018,1,3,124.16,2,170.66,0,NONE
1291,2018,1,11,137.2,1,139.04,0,NONE
1292,2018,1,8,96.04,7,108.84,0,NONE
1293,2018,1,9,133.74,6,187.56,0,NONE
1294,2018,1,12,152.08,10,112.22,0,NONE
1295,2018,2,4,171.08,2,137.0,0,NONE
1296,2018,2,1,150.4,5,154.14,0,NONE
1297,2018,2,11,160.58,3,150.96,0,NONE
1298,2018,2,7,152.68,6,124.22,0,NONE
1299,2018,2,10,131.38,8,158.1,0,NONE
1300,2018,2,12,133.78,9,96.84,0,NONE
1301,2018,3,1,178.9,4,158.46,0,NONE
1302,2018,3,2,99.54,11,110.72,0,NONE
1303,2018,3,5,147.18,3,146.36,0,NONE
1304,2018,3,10,95.7,7,142.08,0,NONE
1305,2018,3,6,163.46,12,105.42,0,NONE
1306,2018,3,8,153.54,9,116.0,0,NONE
1307,2018,4,4,133.46,11,99.76,0,NONE
1308,2018,4,3,152.46,1,185.8,0,NONE
